System call,Windows NT (SP6),Windows 2000 (SP2),Windows 2000 (SP4),Windows XP (SP0),Windows XP (SP1),Windows XP (SP2),Windows XP (SP3),Windows Server 2003 (SP0),Windows Server 2003 (SP1),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows Server 2008 (SP0),Windows Server 2008 (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2)
NtEnableOneCoreTransformMode,,,,,,,,,,,,,,,,,,,,,,,,,,,0x14c3,0x14ce,0x14d4,0x14d4,0x144e,0x144e
NtFlipObjectAddContent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1437,0x1442,0x1446,0x1446,0x111c,0x111c
NtFlipObjectAddPoolBuffer,,,,,,,,,,,,,,,,,,,,,,,,,,0x141f,0x1435,0x1440,0x1444,0x1444,0x111d,0x111d
NtFlipObjectConsumerAcquirePresent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1440,0x144c,0x1450,0x1450,0x111e,0x111e
NtFlipObjectConsumerAdjustUsageReference,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1443,0x144f,0x1453,0x1453,0x111f,0x111f
NtFlipObjectConsumerBeginProcessPresent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143f,0x144b,0x144f,0x144f,0x1120,0x1120
NtFlipObjectConsumerEndProcessPresent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1441,0x144d,0x1451,0x1451,0x1121,0x1121
NtFlipObjectConsumerPostMessage,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1444,0x1450,0x1454,0x1454,0x1122,0x1122
NtFlipObjectConsumerQueryBufferInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1442,0x144e,0x1452,0x1452,0x1123,0x1123
NtFlipObjectCreate,,,,,,,,,,,,,,,,,,,,,,,,,,0x141d,0x1433,0x143e,0x1442,0x1442,0x1124,0x1124
NtFlipObjectDisconnectEndpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143e,0x1449,0x144d,0x144d,0x1125,0x1125
NtFlipObjectEnablePresentStatisticsType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x112f,0x112f
NtFlipObjectOpen,,,,,,,,,,,,,,,,,,,,,,,,,,0x141e,0x1434,0x143f,0x1443,0x1443,0x1126,0x1126
NtFlipObjectPresentCancel,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x144a,0x144e,0x144e,0x1127,0x1127
NtFlipObjectQueryBufferAvailableEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143a,0x1445,0x1449,0x1449,0x1128,0x1128
NtFlipObjectQueryEndpointConnected,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143d,0x1448,0x144c,0x144c,0x1129,0x1129
NtFlipObjectQueryNextMessageToProducer,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143b,0x1446,0x144a,0x144a,0x112a,0x112a
NtFlipObjectReadNextMessageToProducer,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143c,0x1447,0x144b,0x144b,0x112b,0x112b
NtFlipObjectRemoveContent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1438,0x1443,0x1447,0x1447,0x112c,0x112c
NtFlipObjectRemovePoolBuffer,,,,,,,,,,,,,,,,,,,,,,,,,,0x1420,0x1436,0x1441,0x1445,0x1445,0x112d,0x112d
NtFlipObjectSetContent,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1439,0x1444,0x1448,0x1448,0x112e,0x112e
NtFlipObjectSetMaximumBackchannelQueueDepth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1130,0x1130
NtGdiAbortDoc,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x1000,0x113c,0x113e,0x113f,0x1141,0x1142,0x10ff,0x1100,0x1100,0x1100,0x1100,0x1100,0x113b,0x113b
NtGdiAbortPath,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x1001,0x113b,0x113d,0x113e,0x1140,0x1141,0x10fe,0x10ff,0x10ff,0x10ff,0x10ff,0x10ff,0x113c,0x113c
NtGdiAddEmbFontToDC,,,,0x10d6,0x10d6,0x10d6,0x10d6,0x10d5,0x10d5,0x10d5,0x10d5,0x10d5,0x10de,0x10de,0x10de,0x10de,0x10de,0x10e0,0x10e0,0x105a,0x105b,0x105c,0x105c,0x105c,0x1063,0x1064,0x1064,0x1064,0x1064,0x1064,0x113d,0x113d
